GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,season_id,season_type
Players,156,Antoine Carr,Antoine,1610612762,UTA,35.0,28,21,7,0.75,3.7,0.0,0.1,0.0,0.3,0.9,0.5,0.5,2.1,0.1,0.0,0.7,0.0,2.4,127,33,168,27,94,223,190,154,171,214,104,297,145,61,210,366,6,157,1996-97,Regular%20Season
Players,952,Antoine Walker,Antoine,1610612738,BOS,20.0,40,9,31,0.225,3.7,0.4,0.7,0.2,1.3,1.2,1.4,0.4,3.4,0.1,0.2,0.5,0.0,4.2,28,175,390,334,95,48,8,33,13,311,346,255,14,81,360,301,19,38,1996-97,Regular%20Season
Players,213,Antonio Davis,Antonio,1610612754,IND,28.0,40,19,21,0.475,3.5,0.1,0.2,0.1,0.5,0.9,0.8,0.5,2.0,0.2,0.2,0.5,0.0,3.0,28,61,348,202,121,181,118,146,94,236,178,293,158,60,360,243,13,92,1996-97,Regular%20Season
Players,226,Antonio Lang,Antonio,1610612739,CLE,25.0,9,4,5,0.444,1.9,0.0,0.0,0.0,0.0,0.7,0.2,0.0,2.0,0.1,0.0,0.0,0.0,0.9,264,258,122,220,289,223,235,154,260,152,67,1,158,75,1,1,19,313,1996-97,Regular%20Season
Players,686,Antonio McDyess,Antonio,1610612743,DEN,22.0,33,10,23,0.303,4.0,0.3,0.4,0.2,0.7,1.2,2.0,0.2,2.7,0.2,0.1,0.7,0.0,3.6,89,163,362,309,61,63,28,41,47,329,389,136,63,35,294,361,9,54,1996-97,Regular%20Season
Players,288,Armen Gilliam,Armen,1610612749,MIL,33.0,30,12,18,0.4,3.2,0.1,0.2,0.1,0.3,1.2,1.1,0.4,2.7,0.1,0.1,0.5,0.0,3.1,113,131,323,251,160,209,138,97,185,326,284,247,63,81,261,252,19,89,1996-97,Regular%20Season
Players,717,Arvydas Sabonis,Arvydas,1610612757,POR,32.0,32,17,15,0.531,3.5,0.2,0.4,0.0,0.9,1.3,0.9,0.3,2.8,0.2,0.2,0.5,0.0,4.5,99,83,286,150,112,129,20,154,31,331,208,191,54,55,376,260,19,31,1996-97,Regular%20Season
Players,732,Ashraf Amaya,Ashraf,1610612764,WAS,25.0,1,1,0,1.0,4.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.6,373,325,1,1,20,223,235,154,260,1,377,1,360,194,1,393,19,58,1996-97,Regular%20Season
Players,422,Avery Johnson,Avery,1610612759,SAS,32.0,22,8,14,0.364,3.0,0.2,0.1,0.3,0.5,0.9,1.0,0.5,2.1,0.0,0.0,0.3,0.0,2.7,170,190,267,273,190,105,200,10,83,232,256,282,152,194,1,155,19,112,1996-97,Regular%20Season
Players,769,B.J. Armstrong,B.J.,1610612744,GSW,29.0,10,4,6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.8,253,258,140,251,361,223,235,154,260,1,1,1,350,194,1,88,19,322,1996-97,Regular%20Season
Players,1112,Ben Wallace,Ben,1610612764,WAS,22.0,1,1,0,1.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,11.6,373,325,1,1,9,223,235,154,260,1,1,1,1,1,1,1,19,1,1996-97,Regular%20Season
Players,82,Bill Wennington,Bill,1610612741,CHI,34.0,5,4,1,0.8,1.8,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.4,0.0,1.8,308,258,15,21,292,223,30,154,124,1,92,1,350,194,1,218,19,217,1996-97,Regular%20Season
Players,182,Billy Owens,Billy,1610612758,SAC,28.0,25,13,12,0.52,4.4,0.1,0.4,0.1,0.5,1.4,1.4,0.3,2.6,0.1,0.0,0.4,0.0,2.8,151,121,239,159,23,164,47,114,102,349,351,208,70,101,218,191,19,107,1996-97,Regular%20Season
Players,902,Bimbo Coles,Bimbo,1610612744,GSW,29.0,13,7,6,0.538,0.7,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.8,0.0,0.0,0.1,0.0,0.3,226,200,140,144,355,223,235,154,233,65,75,1,332,194,1,61,19,349,1996-97,Regular%20Season
Players,898,Blue Edwards,Blue,1610612763,VAN,31.0,25,5,20,0.2,2.9,0.4,0.0,0.1,0.2,1.0,1.4,0.2,2.2,0.0,0.1,0.3,0.0,1.7,151,230,344,339,201,26,229,114,232,273,346,138,130,164,282,133,19,234,1996-97,Regular%20Season
Players,448,Bo Outlaw,Bo,1610612746,LAC,26.0,40,21,19,0.525,3.6,0.3,0.2,0.2,0.4,0.8,1.1,0.1,2.4,0.2,0.1,0.5,0.0,3.2,28,33,333,154,105,64,104,59,144,205,284,108,109,44,230,260,19,83,1996-97,Regular%20Season
Players,682,Bob Sura,Bob,1610612739,CLE,24.0,33,12,21,0.364,3.2,0.3,0.1,0.1,0.3,1.0,1.1,0.3,2.3,0.1,0.1,0.9,0.0,2.4,89,131,348,273,163,78,200,131,166,248,269,199,118,123,294,383,19,153,1996-97,Regular%20Season
Players,310,Bobby Hurley,Bobby,1610612758,SAC,26.0,8,4,4,0.5,1.7,0.0,0.0,0.0,0.0,0.9,1.0,0.1,1.3,0.1,0.0,0.4,0.0,1.3,269,258,100,166,296,223,235,154,260,220,230,129,280,70,1,197,19,274,1996-97,Regular%20Season
Players,184,Bobby Phills,Bobby,1610612739,CLE,27.0,34,14,20,0.412,3.4,0.2,0.1,0.1,0.3,1.1,0.6,0.3,1.8,0.1,0.0,0.4,0.0,2.6,80,112,344,245,136,118,158,62,169,299,115,197,208,125,201,187,19,135,1996-97,Regular%20Season
Players,699,Brent Barry,Brent,1610612746,LAC,25.0,26,11,15,0.423,3.7,0.2,0.1,0.3,0.3,1.1,1.5,0.3,3.4,0.0,0.0,0.2,0.0,2.5,143,147,286,236,99,127,212,15,162,291,363,185,16,194,216,86,19,145,1996-97,Regular%20Season
Players,85,Brent Price,Brent,1610612745,HOU,28.0,2,0,2,0.0,3.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.5,0.0,3.5,350,364,49,364,88,223,235,154,260,251,230,1,29,194,1,260,19,65,1996-97,Regular%20Season
Players,1136,Brett Szabo,Brett,1610612738,BOS,29.0,12,2,10,0.167,0.9,0.0,0.0,0.0,0.0,0.4,0.5,0.1,1.2,0.0,0.0,0.3,0.0,1.3,236,295,209,354,346,223,235,154,260,109,104,118,286,194,1,112,19,270,1996-97,Regular%20Season
Players,258,Brian Grant,Brian,1610612758,SAC,25.0,6,2,4,0.333,1.5,0.0,0.2,0.0,0.0,0.2,0.7,0.0,0.3,0.2,0.0,0.7,0.0,1.3,293,295,100,288,312,223,138,154,260,66,132,1,357,52,1,361,19,272,1996-97,Regular%20Season
Players,216,Brian Shaw,Brian,1610612753,ORL,31.0,40,24,16,0.6,3.1,0.1,0.1,0.0,0.2,1.2,0.7,0.8,2.2,0.1,0.0,0.4,0.0,2.0,28,20,298,108,167,201,224,154,204,311,139,359,135,142,192,183,19,203,1996-97,Regular%20Season
Players,240,Brooks Thompson,Brooks,1610612743,DEN,26.0,18,3,15,0.167,2.5,0.0,0.0,0.2,0.1,0.5,0.7,0.6,1.8,0.0,0.1,0.5,0.0,2.1,196,282,286,354,237,223,235,46,250,121,153,306,206,194,237,260,19,190,1996-97,Regular%20Season
Players,735,Bryant Reeves,Bryant,1610612763,VAN,24.0,36,9,27,0.25,3.3,0.1,0.2,0.1,0.4,1.5,1.3,0.1,2.4,0.1,0.1,0.6,0.0,2.2,61,175,381,319,143,213,138,139,111,362,333,124,104,67,321,360,19,183,1996-97,Regular%20Season
Players,179,Bryant Stith,Bryant,1610612743,DEN,26.0,28,7,21,0.25,4.1,0.1,0.2,0.1,0.4,1.4,1.8,0.1,2.7,0.0,0.2,0.5,0.0,3.3,127,200,348,319,42,202,111,91,117,348,370,123,59,170,375,260,19,75,1996-97,Regular%20Season
Players,935,Bryon Russell,Bryon,1610612762,UTA,26.0,38,25,13,0.658,4.0,0.3,0.3,0.1,0.3,0.7,0.7,0.4,2.5,0.1,0.0,0.5,0.0,2.8,45,15,256,75,57,84,50,92,188,167,140,246,94,135,193,260,19,108,1996-97,Regular%20Season
Players,433,Buck Williams,Buck,1610612752,NYK,37.0,23,19,4,0.826,2.3,0.0,0.2,0.0,0.3,1.3,0.7,0.4,0.9,0.1,0.0,0.6,0.0,1.4,164,61,100,18,260,223,109,154,145,333,145,263,328,94,1,351,19,266,1996-97,Regular%20Season
Players,2,Byron Scott,Byron,1610612747,LAL,36.0,35,24,11,0.686,2.9,0.3,0.1,0.1,0.3,0.4,0.7,0.1,1.5,0.0,0.0,0.2,0.0,2.3,71,20,225,54,198,62,161,138,171,101,129,111,245,182,200,104,19,165,1996-97,Regular%20Season
Players,384,Calbert Cheaney,Calbert,1610612764,WAS,25.0,38,17,21,0.447,4.2,0.2,0.2,0.1,0.7,1.6,1.1,0.6,2.7,0.0,0.1,0.2,0.0,2.7,45,83,348,219,38,130,115,142,52,375,265,336,56,194,318,108,19,116,1996-97,Regular%20Season
Players,61,Carl Herrera,Carl,1610612759,SAS,30.0,17,6,11,0.353,2.1,0.0,0.0,0.0,0.4,0.9,1.0,0.2,1.5,0.0,0.1,0.6,0.0,1.2,203,216,225,282,266,223,235,154,143,224,230,161,238,194,245,334,19,278,1996-97,Regular%20Season
Players,1063,Carl Thomas,Carl,1610612739,CLE,27.0,1,0,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,373,364,15,364,378,223,235,154,260,1,1,1,360,194,1,385,19,362,1996-97,Regular%20Season
Players,435,Carlos Rogers,Carlos,1610612761,TOR,26.0,27,8,19,0.296,3.0,0.1,0.3,0.0,0.5,0.9,1.0,0.8,2.4,0.1,0.1,0.6,0.0,2.6,138,190,333,311,179,173,82,154,90,226,253,363,107,75,268,319,19,129,1996-97,Regular%20Season
Players,76,Cedric Ceballos,Cedric,1610612756,PHX,27.0,15,7,8,0.467,3.1,0.4,1.1,0.2,1.6,0.4,0.4,0.1,1.1,0.0,0.3,0.4,0.0,4.8,218,200,185,206,173,34,3,33,4,101,92,114,295,194,388,218,19,20,1996-97,Regular%20Season
Players,787,Charles Barkley,Charles,1610612745,HOU,34.0,26,21,5,0.808,4.6,0.3,0.4,0.1,0.3,0.9,1.4,0.2,1.5,0.1,0.1,0.4,0.0,4.3,143,33,122,20,13,81,42,117,162,233,343,160,237,102,274,209,19,35,1996-97,Regular%20Season
Players,891,Charles Oakley,Charles,1610612752,NYK,33.0,48,32,16,0.667,2.8,0.1,0.3,0.0,0.2,1.2,0.7,0.3,1.3,0.0,0.0,0.6,0.0,2.2,2,3,298,57,208,210,77,154,226,323,157,164,266,193,1,327,19,174,1996-97,Regular%20Season
