PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM_ra,FGA_ra,FG_PCT_ra,FGM_paint,FGA_paint,FG_PCT_paint,FGM_midrange,FGA_midrange,FG_PCT_midrange,FGM_lc3,FGA_lc3,FG_PCT_lc3,FGM_rc3,FGA_rc3,FG_PCT_rc3,FGM_break,FGA_break,FG_PCT_break,FGM_backcourt,FGA_backcourt,FG_PCT_backcourt,FGM_corner3,FGA_corner3,FG_PCT_corner3,season_id,season_type
952,Antoine Walker,1610612738,BOS,20.0,Antoine,5.0,10.9,0.453,0.6,1.6,0.414,1.1,2.8,0.393,0.1,0.3,0.294,0.1,0.2,0.3,0.2,0.9,0.27,0.0,0.0,0.0,0.1,0.4,0.296,1996-97,Regular%20Season
213,Antonio Davis,1610612754,IND,28.0,Antonio,2.5,4.7,0.543,0.4,0.8,0.439,0.9,2.2,0.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
176,Antonio Harvey,1610612760,SEA,26.0,Antonio,0.5,1.2,0.429,0.0,0.5,0.0,0.3,0.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1996-97,Regular%20Season
226,Antonio Lang,1610612739,CLE,25.0,Antonio,0.7,1.3,0.5,0.0,0.2,0.154,0.4,0.9,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
686,Antonio McDyess,1610612743,DEN,22.0,Antonio,3.0,5.2,0.571,1.2,2.6,0.476,3.0,7.7,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.091,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
288,Armen Gilliam,1610612749,MIL,33.0,Armen,1.4,2.4,0.585,0.8,1.7,0.467,0.9,2.4,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
717,Arvydas Sabonis,1610612757,POR,32.0,Arvydas,2.7,4.7,0.575,0.9,2.1,0.445,0.9,2.2,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.414,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
732,Ashraf Amaya,1610612764,WAS,25.0,Ashraf,0.3,0.8,0.346,0.1,0.4,0.25,0.0,0.2,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1996-97,Regular%20Season
422,Avery Johnson,1610612759,SAS,32.0,Avery,2.3,4.4,0.528,0.4,0.7,0.518,1.6,3.7,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
769,B.J. Armstrong,1610612744,GSW,29.0,B.J.,1.0,1.4,0.696,0.3,0.7,0.438,1.6,3.8,0.419,0.0,0.1,0.25,0.1,0.3,0.4,0.1,0.6,0.115,0.0,0.0,0.0,0.1,0.3,0.357,1996-97,Regular%20Season
989,Ben Davis,1610612756,PHX,24.0,Ben,0.3,0.7,0.357,0.1,0.3,0.5,0.2,0.4,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
1112,Ben Wallace,1610612764,WAS,22.0,Ben,0.4,1.1,0.359,0.0,0.2,0.2,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
104,Benoit Benjamin,1610612761,TOR,32.0,Benoit,0.8,2.0,0.375,0.3,0.5,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1996-97,Regular%20Season
82,Bill Wennington,1610612741,CHI,34.0,Bill,0.4,1.0,0.373,0.2,0.4,0.391,1.4,2.5,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1996-97,Regular%20Season
182,Billy Owens,1610612758,SAC,28.0,Billy,2.2,3.9,0.56,0.8,1.7,0.505,1.4,3.7,0.376,0.0,0.1,0.25,0.0,0.0,0.0,0.1,0.3,0.278,0.0,0.4,0.0,0.0,0.1,0.2,1996-97,Regular%20Season
902,Bimbo Coles,1610612744,GSW,29.0,Bimbo,0.9,1.8,0.522,0.4,0.8,0.463,0.8,2.6,0.303,0.1,0.3,0.417,0.1,0.4,0.333,0.1,0.5,0.28,0.0,0.3,0.0,0.2,0.5,0.375,1996-97,Regular%20Season
183,Bison Dele,1610612741,CHI,28.0,Bison,1.1,3.0,0.37,0.9,1.7,0.533,0.9,2.3,0.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
898,Blue Edwards,1610612763,VAN,31.0,Blue,1.0,2.0,0.521,0.1,0.3,0.389,1.7,4.4,0.381,0.0,0.1,0.2,0.0,0.2,0.0,0.2,0.7,0.275,0.0,0.3,0.0,0.0,0.3,0.077,1996-97,Regular%20Season
448,Bo Outlaw,1610612746,LAC,26.0,Bo,2.6,3.8,0.697,0.3,0.5,0.5,0.2,0.7,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
682,Bob Sura,1610612739,CLE,24.0,Bob,2.2,4.0,0.549,0.0,0.3,0.167,0.5,1.9,0.288,0.0,0.1,0.2,0.1,0.2,0.357,0.2,0.8,0.3,0.0,0.0,0.0,0.1,0.3,0.316,1996-97,Regular%20Season
310,Bobby Hurley,1610612758,SAC,26.0,Bobby,0.1,0.4,0.333,0.0,0.1,0.25,0.7,1.7,0.408,0.2,0.2,0.75,0.0,0.1,0.0,0.1,0.5,0.222,0.0,0.0,0.0,0.1,0.2,0.5,1996-97,Regular%20Season
184,Bobby Phills,1610612739,CLE,27.0,Bobby,1.6,3.0,0.529,0.4,1.2,0.333,2.3,5.6,0.418,0.3,0.7,0.471,0.1,0.5,0.296,0.1,0.6,0.229,0.0,0.0,0.0,0.4,0.9,0.393,1996-97,Regular%20Season
38,Brad Lohaus,1610612761,TOR,32.0,Brad,0.2,0.3,0.5,0.0,0.0,0.0,0.4,2.2,0.182,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1996-97,Regular%20Season
699,Brent Barry,1610612746,LAC,25.0,Brent,0.8,1.5,0.511,0.3,0.5,0.533,1.2,2.9,0.398,0.1,0.1,0.5,0.2,0.2,0.667,0.4,1.4,0.256,0.0,1.0,0.0,0.2,0.3,0.6,1996-97,Regular%20Season
85,Brent Price,1610612745,HOU,28.0,Brent,0.6,1.1,0.593,0.1,0.3,0.25,0.8,2.0,0.38,0.1,0.2,0.333,0.0,0.1,0.0,0.3,0.8,0.375,,,,0.0,0.2,0.25,1996-97,Regular%20Season
1064,Brent Scott,1610612754,IND,26.0,Brent,0.4,0.8,0.583,0.0,0.1,0.0,0.1,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1996-97,Regular%20Season
1136,Brett Szabo,1610612738,BOS,29.0,Brett,0.4,1.1,0.388,0.2,0.4,0.563,0.2,0.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
967,Brian Evans,1610612753,ORL,23.0,Brian,0.1,0.2,0.667,0.0,0.0,0.0,0.3,1.1,0.267,0.3,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2,0.4,0.5,1996-97,Regular%20Season
258,Brian Grant,1610612758,SAC,25.0,Brian,1.8,3.5,0.518,0.8,2.0,0.375,1.2,3.1,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-97,Regular%20Season
216,Brian Shaw,1610612753,ORL,31.0,Brian,0.9,1.8,0.479,0.4,1.1,0.349,0.9,2.7,0.332,0.0,0.1,0.167,0.0,0.1,0.333,0.3,1.0,0.279,0.0,0.0,0.0,0.0,0.2,0.25,1996-97,Regular%20Season
240,Brooks Thompson,1610612743,DEN,26.0,Brooks,0.2,0.7,0.318,0.1,0.2,0.417,1.3,3.1,0.42,0.2,0.6,0.333,0.1,0.3,0.364,0.8,1.9,0.411,0.0,1.0,0.0,0.2,0.7,0.344,1996-97,Regular%20Season
1477,Bruce Bowen,1610612748,MIA,26.0,Bruce,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,1996-97,Regular%20Season
